year,municipality_code,municipality_name,metric_id,metric_name,metric_domain,value,unit,source_file,source_schedule,source_variable_code,quality_status,comparability_status,formula,data_quality_note
2018,0046,Calgary,pop,Population,A,1306586,persons,population-estimates-ab-census-subdivision-municipal-2016-to-current.xlsx,population,CSD 4806016,reported_value,comparable,,July 1 estimate; sole approved per-capita denominator
2018,0046,Calgary,pop_growth,Annual population growth,A,1.2881,%,derived,derived,CSD 4806016,reported_value,comparable,pop[y] / pop[y-1] - 1,derived from population estimates
2018,0046,Calgary,accumulated_surplus,Accumulated surplus,B,19695083000.0,$ nominal,2018_financial_year.xlsx,A(1)-Total,00450,reported_value,comparable,,nominal dollars
2018,0046,Calgary,debt_limit,Debt limit,B,7975000000.0,$ nominal,2018_financial_year.xlsx,AA(1)-Debt,05700,reported_value,comparable,,nominal dollars
2018,0046,Calgary,debt_service_cost,Total debt-service costs,B,360000000.0,$ nominal,2018_financial_year.xlsx,AA(1)-Debt,05730,reported_value,comparable,,nominal dollars
2018,0046,Calgary,debt_service_limit,Debt-service limit,B,1396000000.0,$ nominal,2018_financial_year.xlsx,AA(1)-Debt,05720,reported_value,comparable,,nominal dollars
2018,0046,Calgary,debt_total,Total debt,B,2976000000.0,$ nominal,2018_financial_year.xlsx,AA(1)-Debt,05710,reported_value,comparable,,nominal dollars
2018,0046,Calgary,equalized_assessment,Equalized assessment,C,274595902731.0,$ nominal,2018_financial_year.xlsx,EA(1)-Assessment,08260,reported_value,comparable,,nominal dollars
2018,0046,Calgary,exp_culture,Culture expense,D,121830000.0,$ nominal,2018_financial_year.xlsx,C(1)-Revenue,01540,reported_value,comparable,,nominal dollars
2018,0046,Calgary,exp_fire,Fire expense,D,304455000.0,$ nominal,2018_financial_year.xlsx,C(1)-Revenue,01220,reported_value,comparable,,nominal dollars
2018,0046,Calgary,exp_parks_rec,Parks and recreation expense,D,269152000.0,$ nominal,2018_financial_year.xlsx,C(1)-Revenue,01530,reported_value,comparable,,nominal dollars
2018,0046,Calgary,exp_police,Police expense,D,521224000.0,$ nominal,2018_financial_year.xlsx,C(1)-Revenue,01210,reported_value,comparable,,nominal dollars
2018,0046,Calgary,exp_roads,"Roads, streets, walks, lighting expense",D,395727000.0,$ nominal,2018_financial_year.xlsx,C(1)-Revenue,01290,reported_value,comparable,,nominal dollars
2018,0046,Calgary,exp_total,Total expense,A,3872644000.0,$ nominal,2018_financial_year.xlsx,C(1)-Revenue,01580,reported_value,comparable,,nominal dollars
2018,0046,Calgary,exp_transit,Public transit expense,D,531714000.0,$ nominal,2018_financial_year.xlsx,C(1)-Revenue,01310,reported_value,comparable,,nominal dollars
2018,0046,Calgary,fte_total,Total full-time municipal positions,D,15914.0,positions,2018_financial_year.xlsx,ST(1)-Stat,05500,reported_value,comparable,,
2018,0046,Calgary,mill_rate_nonres,Non-residential general municipal mill rate,C,15.3234,mills,2018_financial_year.xlsx,MR(3)-Mill Rate,10034,reported_value,comparable,,
2018,0046,Calgary,mill_rate_res,Residential general municipal mill rate,C,3.9014,mills,2018_financial_year.xlsx,MR(3)-Mill Rate,10030,reported_value,comparable,,
2018,0046,Calgary,net_financial_assets,Net financial assets / net debt,B,1918604000.0,$ nominal,2018_financial_year.xlsx,A(1)-Total,00395,reported_value,comparable,,nominal dollars
2018,0046,Calgary,net_rev_exp,Net revenue/expense,A,1038369000.0,$ nominal,2018_financial_year.xlsx,C(1)-Revenue,01590,reported_value,comparable,,nominal dollars
2018,0046,Calgary,property_tax,Property taxes and grants in place,C,2583178000.0,$ nominal,2018_financial_year.xlsx,K(3)-Total,04000,reported_value,comparable,,nominal dollars
